execid_num,W0,nS,nSu,nO,K,T,P0,NumOfShares,sigma,permid,d,rf,phi,Nd1,Nd2,BS,year,CV,LD,PC,MD2
6,10571.338420291053,0.0007908128902638098,0.0007908128902638098,0.00950206428389326,7886222049.98945,5.788812742732097,7131332000.0,150173097.80519998,0.614,1013,0.0,0.0664,2793.5719999999997,0.8240012496884057,0.29234078470485136,4306494423.46768,2000,1.4772810324237666,0.1339728438259831,3517306771.3711634,0.5465592530094596
7,38564.71721523994,0.04563988527079466,0.04563988527079466,0.03823796186941117,813191421.7079644,5.029426796403936,8256100000.0,118540000.0,0.562,12540,0.00146,0.0664,12121.673,0.9968166209240659,0.9289352128302623,7628674307.004588,2000,1.260362756147374,0.17896972261169392,5172241526.537379,-1.4679066766732196
8,61371.072734907204,0.0017527849531804973,0.0017527849531804973,0.04305241631686578,1155318888.3354673,1.0011190926763056,4276094000.0,148656000.0,0.585,1161,0.0,0.0664,7187.896999999999,0.9958792489207597,0.9801417429131825,3198923577.6289234,2000,0.585327243079586,0.3361349630415105,3850528043.6554565,-2.0566852263591557
13,20301.86365866196,0.05761267404229698,0.05761267404229698,0.03399415970497478,1534415610.6781292,6.37518931037463,12557443000.0,265740000.0,0.324,1449,0.00615,0.0664,2799.022,0.9997178499081147,0.9957325783307379,11070657511.938354,2000,0.8180720463662642,0.2745101934849246,13194469663.805967,-2.630145092478339
15,8668.019859732342,0.0008101237303092319,0.0003163290212350501,0.00479947804209459,5664768932.184897,3.146623715586846,6707171000.0,213044000.0,0.305,1209,0.023929999999999996,0.0664,2218.767,0.7966520992348574,0.6135911500977949,2135243570.4035316,2000,0.5410311184603585,0.3196289221682932,6622394597.188067,-0.2886911969857671
29,8704.48302376665,0.002041924151493359,0.002041924151493359,0.00328675801411579,12020817265.596592,7.9524517838854765,25958087000.0,314258000.0,0.228,1318,0.01494,0.0664,2181.02,0.9844308399372558,0.9347761130503329,16064329862.633583,2000,0.6429620933877072,0.28809981194825485,31785691664.111794,-1.5123384907415989
43,47925.20728596984,0.00047718334616647087,0.00047718334616647087,0.0024039585372063847,43652917112.91294,5.856592238093495,51286248000.0,1303916000.0,0.295,1478,0.02306,0.0664,4402.164,0.8259364645337743,0.5887445335448952,19587746700.010487,2000,0.7139117168950838,0.2701368706824268,51234461607.58321,-0.2243166352933052
44,170668.62566736786,0.0014177088013385593,0.0014177088013385593,7.152457705238045e-05,1016062521590.8625,12.300564215953273,167403558000.0,1549128000.3304808,0.227,1487,0.0017499999999999998,0.0664,6085.5,0.1926677473139392,0.04803168734679164,10002119561.5573,2000,0.7961380367020886,0.2843974898194724,270080753719.15414,1.664245520291028
48,41811.595597913416,0.09483992355856626,0.09483992355856626,0.0034559192911041018,2517028242.437745,5.452686076631348,5079693000.0,193089000.0,0.552,14565,0.0,0.0664,550.613,0.929236494041943,0.5718765678620887,3718045237.7222166,2000,1.2889744986980458,0.17383196541949775,3179047275.5977774,-0.18115379047907476
60,16926.528562447922,0.009611158125685628,0.009611158125685628,0.034634069895000785,1655891500.8976624,3.5196486404714973,4351586000.0,127620000.0,0.347,11923,0.00586,0.0664,5373.619,0.9837008798387882,0.931360403510741,2972450210.6829624,2000,0.6509972143953708,0.31617407057428304,4356727571.127148,-1.4859997278705632
63,94244.74201761557,0.1193885602809208,0.1193885602809208,0.005911041747951619,8248831802.455177,6.908661785073141,10265360000.0,256300000.0,0.23,3221,0.02033,0.0664,2866.355,0.8830799762004427,0.7210573679184737,4117726563.43638,2000,0.6045396665483326,0.28876971815054536,11755521730.397203,-0.5859854922540402
64,6812.659377500365,0.003911588887312813,0.003911588887312813,0.005519868690348336,1552008611.6478808,5.192699195275525,4213941000.0,113996189.95124318,0.353,1678,0.00758,0.0664,1483.142,0.978496289502879,0.8886233191641443,2987238500.936015,2000,0.8043985666472112,0.2775295902033609,4138379780.992615,-1.2192393474653453
66,89804.39983710216,0.011517858822791556,0.011517858822791556,0.00990937313807269,3311256908.7855506,5.939282472515485,33986396999.999996,382668000.0,0.541,1704,0.0,0.0664,3843.4190000000003,0.996780323551252,0.920149206603472,31823072566.0413,2000,1.3184517940896836,0.16727834794885943,21140088056.485706,-1.4060759036318402
85,677.105092778903,0.16460042555297144,0.16460042555297144,0.0,2987193335.0,10.0,5959918000.0,202090000.0,0.71,23767,0.0,0.0664,525.537,0.9578253993370884,0.3018011983162096,5244459569.8589945,2000,2.2452171387195494,0.03208269363903628,931049087.615872,0.5192270804987408
97,848.3320583580415,0.003496028116123441,0.002771460208945164,0.005011795291512204,540306090.3019748,4.732051247549979,507343000.0,20771000.0,0.259,2008,0.046,0.0664,423.72499999999997,0.6335670698915641,0.412120307514927,95927282.64619645,2000,0.5634099127073467,0.27380797061673945,476756455.0239317,0.2220941201227453
117,483222.33948526485,0.07115673119382362,0.07115673119382362,0.01994216771363047,1581479126.810931,6.471485355080101,3982176000.0,140406000.0,0.402,25338,0.0,0.0664,1069.29,0.9667120979288938,0.7915682055184676,3035039879.7375207,2000,1.0226523941801362,0.23649044043379444,3627798793.8825636,-0.8118746026255231
120,30694.404065447583,0.010744374589155387,0.010744374589155387,0.0,2261977454.0,10.0,2258620000.0,118658000.0,0.239,2150,0.013640000000000001,0.0664,2016.3719999999998,0.8585907921445609,0.6248429243715539,964374530.1407233,2000,0.7557843607802427,0.26159872501556747,2877002654.7292776,-0.3182251571125583
126,199528.6279030987,0.4106197940644756,0.4106197940644756,0.011060332146827312,1658792572.0930245,6.35099585243568,11165951000.0,200378250.0,0.591,2184,0.0,0.0664,2196.044,0.9895025692110335,0.7935174916040195,10185353306.939503,2000,1.489389869152663,0.1315879770098587,5614957908.999695,-0.818686997773594
130,100094.26498964915,0.20536824748743723,0.20536824748743723,0.010922770100502513,944122830.5737981,0.9999999999859568,2244199000.0,32795199.998567197,0.239,3015,0.0,0.0664,4965.402,0.9999709154836041,0.9999219371334283,1360733631.6138344,2000,0.23899999999832183,0.3877094604222726,2330745479.4221067,-3.781117861209769
133,41856.2501976053,0.0761579277328166,0.0761579277328166,0.0,1898284194.0,10.0,4266590000.0,118435499.99999999,0.35,2230,0.00388,0.0664,466.55,0.967842554944397,0.7713177364731296,3218493078.511888,2000,1.1067971810589328,0.2079955625911723,4321121233.38877,-0.7431935182348751
